,artist,track,genres
782,Aly & AJ,Like Whoa,"['dance pop', 'electropop', 'girl group', 'indie poptimism', 'neo mellow', 'pop', 'post-teen pop']"
783,Rihanna Featuring Ne-Yo,Hate That I Love You,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
784,City High,What Would You Do?,['hip pop']
785,Miley Cyrus,Party In The U.S.A.,"['dance pop', 'pop', 'post-teen pop']"
786,Mannie Fresh,Real Big,"['bounce', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
787,Third Eye Blind,Deep Inside Of You,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']"
788,Rihanna,If It's Lovin' That You Want,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']"
789,Lady Gaga Featuring Colby O'Donis,Just Dance,"['dance pop', 'pop', 'post-teen pop', 'dance pop', 'pop rap', 'urban contemporary']"
790,Shania Twain,Up!,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']"
791,Lonestar,I'm Already There,"['contemporary country', 'country', 'country road']"
792,Toby Keith,Country Comes To Town,"['contemporary country', 'country', 'country road', 'oklahoma country']"
793,G-Unit Featuring Joe,Wanna Get To Know You,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'southern hip hop', 'trap', 'dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
794,John Mayer,Who Says,"['neo mellow', 'pop rock', 'singer-songwriter']"
795,Elliott Yamin,Wait For You,[]
796,Staind,Fade,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
797,Dido,Thank You,"['dance pop', 'pop rock']"
798,Rascal Flatts,Here Comes Goodbye,"['contemporary country', 'country', 'country road']"
799,The All-American Rejects,Dirty Little Secret,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-teen pop']"
800,Eminem,Without Me,"['detroit hip hop', 'hip hop', 'rap']"
801,Ozzy Osbourne,I Don't Wanna Stop,"['album rock', 'birmingham metal', 'hard rock', 'metal', 'rock']"
802,Juanes,Lo Que Me Gusta A Mi,"['colombian pop', 'latin', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']"
803,Sugarland,Stay,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']"
804,Marques Houston,Naked,"['hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
805,P.O.D.,Alive,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rap rock']"
806,Remy Shand,Take A Message,"['canadian pop', 'neo soul']"
807,Christina Aguilera,I Turn To You,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
808,Kelis,Caught Out There,"['dance pop', 'electropop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']"
809,Lil Rob,Bring Out The Freak In You,"['chicano rap', 'g funk', 'gangster rap', 'latin hip hop', 'san diego rap']"
810,Lenny Kravitz,Again,"['permanent wave', 'pop rock', 'rock']"
811,Macy Gray,I Try,['neo soul']
812,Musiq Soulchild,Love,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
813,Gwen Stefani,Wind It Up,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
814,Nelly Furtado,All Good Things (Come To An End),"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']"
815,Seether,Fake It,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
816,Backstreet Boys,More Than That,"['boy band', 'dance pop']"
817,M2M,Mirror Mirror,"['candy pop', 'dance pop', 'europop', 'girl group', 'norwegian pop']"
818,The Last Goodnight,Pictures Of You,"['neo mellow', 'pop rock']"
819,Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary', 'battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap', 'battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
820,Pharrell Featuring Kanye West,Number One,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary', 'chicago rap', 'rap']"
821,Beyonce Featuring Slim Thug,Check On It,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
822,Jason Aldean,Big Green Tractor,"['contemporary country', 'country', 'country road']"
823,Gucci Mane,Freaky Gurl,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
824,U2,Magnificent,"['irish rock', 'permanent wave', 'rock']"
825,Mario,Crying Out For Me,"['dance pop', 'hip pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']"
826,Len,Steal My Sunshine,[]
827,Donell Jones,U Know What's Up,"['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary', 'hip pop', 'urban contemporary']"
828,Ja Rule Featuring Christina Milian,Between Me And You,"['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'queens hip hop', 'rap', 'urban contemporary', 'dance pop', 'hip pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
829,Kellie Pickler,Things That Never Cross A Man's Mind,"['contemporary country', 'country', 'country dawn', 'country road']"
830,Joe Diffie,In Another World,"['contemporary country', 'country', 'country road', 'country rock', 'oklahoma country']"
831,Ying Yang Twins,Naggin,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
832,Lil Wayne,Way Of Life,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
833,Shakira Featuring Wyclef Jean,Hips Don't Lie,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop', 'rap kreyol']"
834,Counting Crows,Hanginaround,"['alternative rock', 'neo mellow', 'pop rock', 'rock']"
835,Destiny's Child,Say My Name,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']"
836,John Rich,Shuttin' Detroit Down,['country road']
837,Pearl Jam,I Am Mine,"['alternative rock', 'grunge', 'permanent wave', 'rock']"
838,Jonas Brothers,Year 3000,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
839,Shakira,Don't Bother,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
840,Brad Paisley,Little Moments,"['contemporary country', 'country', 'country road']"
841,Alicia Keys,Teenage Love Affair,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
842,R. Kelly,The World's Greatest,[]
843,Angels & Airwaves,The Adventure,"['emo', 'modern rock', 'pop punk', 'socal pop punk']"
844,Linkin Park,One Step Closer,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
845,2 Pistols Featuring T-Pain & Tay Dizm,She Got It,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary', 'florida rap']"
846,T.I.,24's,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
847,Clint Black With Steve Wariner,Been There,"['country', 'country road', 'country rock', 'country', 'country rock']"
848,Kid Cudi Featuring Kanye West & Common,Make Her Say,"['hip hop', 'ohio hip hop', 'pop rap', 'rap', 'chicago rap', 'rap', 'alternative hip hop', 'chicago rap', 'conscious hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'neo soul', 'political hip hop', 'rap']"
849,Nina Sky Featuring Jabba,Move Ya Body,[]
850,Gary Allan,Man To Man,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
851,Enrique Iglesias,Rhythm Divine,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
852,T-Pain Featuring Chris Brown,Freeze,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary', 'dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
853,Jibbs,Chain Hang Low,"['dirty south rap', 'pop rap', 'southern hip hop']"
854,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,Beautiful,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap', 'pop rap']"
855,Jordin Sparks Duet With Chris Brown,No Air,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary', 'dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
856,Faith Hill,If My Heart Had Wings,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop']"
857,Robin Thicke,Lost Without U,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
858,George Strait,River Of Love,"['contemporary country', 'country', 'country road', 'country rock']"
859,Jordin Sparks,This Is My Now,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
860,The Afters,Beautiful Love,"['ccm', 'christian alternative rock', 'christian music', 'christian pop', 'christian rock', 'worship']"
861,Five For Fighting,100 Years,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']"
862,John Mayer,No Such Thing,"['neo mellow', 'pop rock', 'singer-songwriter']"
863,Beenie Man,King Of The Dancehall,"['dancehall', 'reggae fusion', 'soca']"
864,Luke Bryan,All My Friends Say,"['contemporary country', 'country', 'country road']"
865,Dr. Dre Featuring Eminem,Forgot About Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap', 'detroit hip hop', 'hip hop', 'rap']"
866,Pitbull,I Know You Want Me (Calle Ocho),"['dance pop', 'latin', 'miami hip hop', 'pop']"
867,Nickelback,Someday,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']"
868,Lenny Kravitz,I Belong To You,"['permanent wave', 'pop rock', 'rock']"
869,Tim McGraw,The Cowboy In Me,"['contemporary country', 'country', 'country road']"
870,Cherish Featuring Yung Joc,Killa,"['atl hip hop', 'dance pop', 'girl group', 'hip pop', 'pop r&b', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary', 'atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
871,Michelle Branch,Are You Happy Now?,"['candy pop', 'dance pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']"
872,Kenny Chesney,Beer In Mexico,"['contemporary country', 'country', 'country road']"
873,Usher,Trading Places,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
874,Nitty,Nasty Girl,['bronx hip hop']
875,Demi Lovato,La La Land,"['dance pop', 'pop', 'post-teen pop']"
876,Mary J. Blige,Just Fine,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
877,IMx,Stay The Night,[]
878,Taylor Swift,Teardrops On My Guitar,"['pop', 'post-teen pop']"
879,Brad Paisley,I Wish You'd Stay,"['contemporary country', 'country', 'country road']"
880,Lil Mama Featuring Chris Brown & T-Pain,Shawty Get Loose,"['hip pop', 'pop rap', 'trap queen', 'dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
881,U2,Vertigo,"['irish rock', 'permanent wave', 'rock']"
882,Seether,Remedy,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
883,New Boyz,You're A Jerk,"['dance pop', 'pop rap', 'southern hip hop']"
884,Toby Keith,Big Blue Note,"['contemporary country', 'country', 'country road', 'oklahoma country']"
885,Lil Bow Wow Featuring Jagged Edge,Puppy Love,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
886,Chingy Featuring J. Weav,One Call Away,"['crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary', 'movie tunes']"
887,Lady Gaga Featuring Beyonce,Telephone,"['dance pop', 'pop', 'post-teen pop', 'dance pop', 'pop', 'post-teen pop', 'r&b']"
888,Blake Shelton,Don't Make Me,"['contemporary country', 'country', 'country road', 'oklahoma country']"
889,Gwen Stefani,What You Waiting For?,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
890,The Pussycat Dolls,Stickwitu,"['dance pop', 'girl group', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
891,Ying Yang Twins Featuring Trick Daddy,Whats Happnin!,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
892,Brandy,Right Here (Departed),"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
893,Mary J. Blige,Give Me You,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary', 'album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']"
894,Big & Rich,Lost In This Moment,"['contemporary country', 'country', 'country road', 'modern country rock']"
895,Britney Spears,Outrageous,"['dance pop', 'pop', 'post-teen pop']"
896,Adam Lambert,Mad World,"['dance pop', 'electropop', 'idol', 'post-teen pop']"
897,Tweet,Oops (Oh My),"['hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary', 'dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']"
898,Clay Walker,Fall,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
899,Ludacris,Number One Spot,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
900,Timbaland Featuring Justin Timberlake,Carry Out,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary', 'dance pop', 'pop']"
901,Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,"['dance pop', 'pop', 'dance pop', 'pop', 'dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'urban contemporary']"
902,Brad Paisley Featuring Dolly Parton,When I Get Where I'm Going,"['contemporary country', 'country', 'country road', 'classic country pop', 'country', 'country dawn']"
903,Gym Class Heroes Featuring Patrick Stump,Cupid's Chokehold/Breakfast In America,"['dance pop', 'pop rap']"
904,Tamia,Officially Missing You,"['canadian pop', 'dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']"
905,Michelle Branch,Goodbye To You,"['candy pop', 'dance pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']"
906,Creed,One Last Breath,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
907,JAY-Z,D.O.A. (Death Of Auto-Tune),"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
908,Eve Featuring Alicia Keys,Gangsta Lovin',"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'philly rap', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
909,Eminem,The Real Slim Shady,"['detroit hip hop', 'hip hop', 'rap']"
910,Janet Jackson,Just A Little While,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
911,B2K,Gots Ta Be,"['boy band', 'dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
912,Blue October,Into The Ocean,"['pop rock', 'post-grunge', 'san marcos tx indie']"
913,Paulina Rubio,Don't Say Goodbye,"['dance pop', 'latin', 'latin arena pop', 'latin pop', 'mexican pop']"
914,Lil Boosie Featuring Foxx & Webbie,Wipe Me Down,"['baton rouge rap', 'dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'baton rouge rap', 'crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'baton rouge rap', 'deep southern trap', 'dirty south rap', 'gangster rap', 'houston rap', 'southern hip hop', 'trap']"
915,Savage Featuring Soulja Boy Tell'em,Swing,"['italian disco', 'nz hip hop', 'atl hip hop', 'chicago bop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']"
916,Ian Van Dahl Featuring Marsha,Castles In The Sky,['eurodance']
917,Phil Collins,Can't Stop Loving You,"['mellow gold', 'rock drums', 'soft rock']"
918,Trick Daddy,I'm A Thug,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
919,Papa Roach,She Loves Me Not,"['alternative metal', 'nu metal', 'rap metal', 'rap rock']"
920,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap', 'chicago rap', 'rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap', 'detroit hip hop', 'hip hop', 'rap']"
921,Norah Jones,Don't Know Why,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']"
922,TLC,Girl Talk,"['atl hip hop', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
923,matchbox twenty,Mad Season,"['neo mellow', 'pop rock', 'post-grunge']"
924,Kenny Chesney,"No Shoes, No Shirt, No Problems","['contemporary country', 'country', 'country road']"
925,Jimmy Wayne,I Love You This Much,"['country', 'country road']"
926,Ashley Tisdale,Kiss The Girl,"['dance pop', 'pop', 'post-teen pop', 'social media pop', 'viral pop']"
927,Aaliyah Featuring Timbaland,We Need A Resolution,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
928,Green Day,Working Class Hero,"['permanent wave', 'pop punk', 'punk']"
929,Ne-Yo,Sexy Love,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
930,Tim McGraw With Faith Hill,I Need You,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'contemporary country', 'country', 'country road']"
931,Joe Nichols,Brokenheartsville,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
932,Red Hot Chili Peppers,Californication,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
933,Britney Spears,Gimme More,"['dance pop', 'pop', 'post-teen pop']"
934,Mary Mary,Shackles (Praise You),"['gospel', 'gospel r&b', 'r&b', 'urban contemporary']"
935,Maroon 5,Harder To Breathe,"['pop', 'pop rock']"
936,Play-N-Skillz Featuring Krayzie Bone & Adina Howard,Freaks,"['chicano rap', 'dominican pop', 'pop rap', 'dirty south rap', 'gangster rap', 'ohio hip hop', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
937,Ying Yang Twins,Wait (The Whisper Song),"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
938,Omarion,O,"['dance pop', 'hip pop', 'pop r&b', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
939,Kings Of Leon,Use Somebody,"['modern rock', 'rock']"
940,Santana Featuring Chad Kroeger,Into The Night,"['blues rock', 'classic rock', 'mexican classic rock', 'alternative metal']"
941,Webbie Featuring Bun B,Give Me That,"['baton rouge rap', 'dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap', 'baton rouge rap', 'crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
942,Akon,Right Now (Na Na Na),['dance pop']
943,Taylor Swift,Hey Stephen,"['pop', 'post-teen pop']"
944,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",Get Buck In Here,"['pop rap', 'dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'dance pop', 'atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'pop rap', 'southern hip hop']"
945,Jermaine Dupri Featuring Nate Dogg,Ballin' Out Of Control,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
946,Keri Hilson,Energy,"['dance pop', 'hip pop', 'pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']"
947,Mariah Carey,Obsessed,"['dance pop', 'pop', 'r&b', 'urban contemporary']"
948,50 Cent Featuring Ne-Yo,Baby By Me,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
949,George Strait,Give It Away,"['contemporary country', 'country', 'country road', 'country rock']"
950,Howie Day,Collide,"['acoustic pop', 'neo mellow', 'pop rock']"
951,Fat Joe Featuring R. Kelly,We Thuggin',"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
952,Hot Boys,I Need A Hot Girl,"['deep southern trap', 'dirty south rap', 'gangster rap', 'new orleans rap', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
953,Beenie Man Featuring Ms. Thing,Dude,"['dancehall', 'reggae fusion', 'soca']"
954,Lonestar,Tell Her,"['contemporary country', 'country', 'country road']"
955,Kanye West Featuring Chris Martin,Homecoming,"['chicago rap', 'rap']"
956,Pat Green,Wave On Wave,['texas country']
957,Lionel Richie,Just For You,"['adult standards', 'disco', 'mellow gold', 'quiet storm', 'soft rock', 'contemporary country', 'country', 'country road']"
958,Sean Kingston,Me Love,"['dance pop', 'miami hip hop', 'pop', 'post-teen pop', 'urban contemporary']"
959,The Wreckers,"My, Oh My","['candy pop', 'country', 'country dawn']"
960,A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,Jai Ho! (You Are My Destiny),"['desi pop', 'filmi', 'modern bollywood', 'dance pop', 'girl group', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary', 'dance pop', 'electropop', 'post-teen pop', 'urban contemporary']"
961,Lil Bow Wow,Bow Wow (That's My Name),"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary', 'g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
962,Lasgo,Something,"['belgian dance', 'belgian pop', 'eurodance', 'europop']"
963,OutKast Featuring Killer Mike,The Whole World,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop', 'alternative hip hop', 'atl hip hop', 'conscious hip hop', 'dirty south rap', 'escape room', 'political hip hop', 'southern hip hop']"
964,Daughtry,What About Now,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
965,Donell Jones,Where I Wanna Be,"['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
966,The Game Featuring Kanye West,Wouldn't Get Far,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
967,Rihanna,Don't Stop The Music,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']"
968,Hurricane Chris Featuring Big Poppa,The Hand Clap,"['deep southern trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'deep southern trap']"
969,Josh Turner,Would You Go With Me,"['contemporary country', 'country', 'country road', 'modern country rock']"
970,Queens Of The Stone Age,No One Knows,"['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']"
971,Ryan Duarte,You,[]
972,R. Kelly,I Wish,[]
973,Danity Kane,Sleep On It,"['dance pop', 'girl group', 'hip pop', 'pop r&b', 'post-teen pop', 'r&b', 'urban contemporary']"
974,Montgomery Gentry,What Do Ya Think About That,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
975,Mario Vazquez,Gallery,['urban contemporary']
976,Tim McGraw,Live Like You Were Dying,"['contemporary country', 'country', 'country road']"
977,Trillville Featuring Cutty,Some Cut,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
978,Shakira,"Whenever, Wherever","['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']"
979,John Mayer,Dreaming With A Broken Heart,"['neo mellow', 'pop rock', 'singer-songwriter']"
980,Remy Ma,Conceited (There's Something About Remy),"['bronx hip hop', 'hip pop', 'r&b', 'trap queen', 'urban contemporary']"
981,"Nelly Featuring Kyjuan, Ali & Murphy Lee",Air Force Ones,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'st louis rap', 'urban contemporary', 'dirty south rap', 'pop rap', 'southern hip hop', 'st louis rap']"
982,Brooke Hogan Featuring Paul Wall,About Us,"['dance pop', 'post-teen pop', 'chopped and screwed', 'crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
983,Gavin Rossdale,Love Remains The Same,"['pop rock', 'post-grunge']"
984,Juanes,La Camisa Negra,"['colombian pop', 'latin', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']"
985,Linkin Park,Lying From You,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
986,Red Hot Chili Peppers,Snow ((Hey Oh)),"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
987,Third Eye Blind,Never Let You Go,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']"
988,Martina McBride,Love's The Only House,"['contemporary country', 'country', 'country dawn', 'country road']"
989,The Fray,Never Say Never,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
990,Will Smith,Switch,"['hip hop', 'pop rap']"
991,The Fray,You Found Me,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
992,Snoop Dogg Featuring Charlie Wilson & Justin Timberlake,Signs,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary', 'dance pop', 'pop']"
993,Kenny Chesney,Who You'd Be Today,"['contemporary country', 'country', 'country road']"
994,Lifehouse,Halfway Gone,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
995,Keith Urban,Where The Blacktop Ends,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']"
996,U2,Sometimes You Can't Make It On Your Own,"['irish rock', 'permanent wave', 'rock']"
997,Ginuwine,Differences,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'southern hip hop', 'urban contemporary']"
